id;placed_date;status;code;invoice_id;customer_id
1;2019-04-15T10:39:25;COMPLETED;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;9
2;2019-04-15T00:03:36;COMPLETED;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;2
3;2019-04-15T02:00:25;COMPLETED;invoice teal analyzing;Fantastic;1
4;2019-04-15T12:04:11;COMPLETED;Handcrafted Plastic Shirt quantifying;wireless;3
5;2019-04-15T06:14:26;COMPLETED;Accountability Handmade Cotton Bacon;intermediate Table quantify;9
6;2019-04-14T23:10:58;COMPLETED;user-centric Infrastructure;Managed Dobra application;3
7;2019-04-15T10:31:48;COMPLETED;monetize superstructure Fantastic;Industrial;10
8;2019-04-14T16:40:25;COMPLETED;Quality Applications Missouri;Practical Gorgeous;7
9;2019-04-15T05:07:01;COMPLETED;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;4
10;2019-04-14T20:03:54;COMPLETED;program Auto Loan Account Refined;infomediaries;3
